"No.","Time","Source","Destination","Protocol","Length","Info"
"204","6.076557867","fe80::8d7f:fb22:b645:cb76","ff02::1:2","DHCPv6","159","Solicit XID: 0xbf6d55 CID: 0001000124dfe769482ae33f80aa "
"205","6.077719131","fe80::726d:ecff:fe02:14e","ff02::1:ff00:0","ICMPv6","88","Multicast Listener Report"
"206","6.078780335","fe80::726d:ecff:fe02:209","ff02::1:ff00:0","ICMPv6","88","Multicast Listener Report"
"207","6.079833617","fe80::c0e9:4573:8dbc:7b8c","ff02::1:ffbc:7b8c","ICMPv6","88","Multicast Listener Report"
"208","6.081208215","10.10.15.16","10.10.15.255","NBNS","112","Registration NB WORKGROUP<00>"
"209","6.082485602","10.10.15.16","10.10.15.255","NBNS","112","Registration NB ADMINRG-SL7NR70<00>"
"210","6.083736725","10.10.15.16","10.10.15.255","NBNS","112","Registration NB ADMINRG-SL7NR70<20>"
"211","6.084864441","fe80::725e:55ff:feba:2557","ff02::1:ffba:2557","ICMPv6","88","Multicast Listener Report"
"212","6.086016606","10.10.13.173","10.10.15.255","NBNS","94","Name query NB WATCHDOGS2<1c>"
"213","6.087225113","fe80::1691:82ff:fe79:5c31","ff02::1:ff79:5c31","ICMPv6","88","Multicast Listener Report"
"214","6.088311669","fe80::70b4:2ce6:574:7726","ff02::1:ff74:7726","ICMPv6","88","Multicast Listener Report"
"215","6.089331423","fe80::e5eb:474d:a7f9:12e3","ff02::fb","ICMPv6","88","Multicast Listener Report"
"216","6.090444853","fe80::726d:ecff:fe02:19c","ff02::1:ff02:19c","ICMPv6","88","Multicast Listener Report"
"217","6.091623282","10.10.11.11","10.10.15.255","UDP","88","57621  >  57621 Len=44"
"218","6.093705567","fe80::221:9bff:fe6e:4b01","ff02::1:ff6e:4b01","ICMPv6","88","Multicast Listener Report"
"219","6.095449668","fe80::726d:ecff:fe02:209","ff02::2","ICMPv6","88","Multicast Listener Report"
"220","6.097125311","fe80::2dea:64dd:3f62:3b5a","ff02::1:3","LLMNR","154","Standard query 0x333b PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"221","6.098632159","fe80::726d:ecff:fe02:230","ff02::1:ff02:230","ICMPv6","88","Multicast Listener Report"
"222","6.100064751","10.10.13.42","224.0.0.252","LLMNR","134","Standard query 0x333b PTR 3.0.0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa"
"223","6.101488689","fe80::cb1f:8cdd:78af:9378","ff02::1:ffaf:9378","ICMPv6","88","Multicast Listener Report"
"224","6.102674909","fe80::b9e0:710e:e37:c278","ff02::1:ff37:c278","ICMPv6","88","Multicast Listener Report"
"225","6.103822833","fe80::acd4:c0b0:bc0c:dff6","ff02::1:ff0c:dff6","ICMPv6","88","Multicast Listener Report"
"226","6.105019163","fe80::8d7f:fb22:b645:cb76","ff02::2","ICMPv6","72","Router Solicitation from 48:89:e7:f4:f6:78"
"227","6.106080908","fe80::66db:8bff:fea2:34c5","ff02::1:ffa2:34c5","ICMPv6","88","Multicast Listener Report"
"228","6.111774193","10.10.13.183","224.0.0.251","MDNS","121","Standard query 0x000d PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"229","6.113027620","10.10.15.16","10.10.15.255","NBNS","112","Registration NB ADMINRG-SL7NR70<20>"
"230","6.114170808","10.10.13.173","10.10.15.255","NBNS","94","Name query NB WATCHDOGS2<1c>"
"231","6.123611061","fe80::1a0f:76ff:fe8d:1fb6","fe80::c662:d135:7792:5180","ICMPv6","144","Time Exceeded (hop limit exceeded in transit)"
"232","6.123662415","fe80::1a0f:76ff:fe8d:1fb6","fe80::c662:d135:7792:5180","ICMPv6","144","Time Exceeded (hop limit exceeded in transit)"
"233","6.124450209","fe80::c662:d135:7792:5180","2001:4528:401::7c7c:fc32","TCP","96","50284  >  80 [SYN] Seq=0 Win=28800 Len=0 MSS=1440 SACK_PERM=1 TSval=386369448 TSecr=0 WS=128"
"234","6.139068369","124.124.252.50","10.10.10.140","HTTP","452","[TCP Spurious Retransmission] HTTP/1.1 200 OK  (text/plain)"
"235","6.139086491","10.10.10.140","124.124.252.50","TCP","80","[TCP Dup ACK 175#1] 56148  >  80 [ACK] Seq=294 Ack=385 Win=30336 Len=0 TSval=2823459611 TSecr=61713986 SLE=1 SRE=385"
"236","6.313104734","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) request  id=0x20f3, seq=4/1024, ttl=64 (reply in 237)"
"237","6.313128579","127.0.0.1","127.0.0.1","ICMP","100","Echo (ping) reply    id=0x20f3, seq=4/1024, ttl=64 (request in 236)"
"238","6.374985139","fe80::c662:d135:7792:5180","2001:4528:401::7c7c:fc32","TCP","96","50286  >  80 [SYN] Seq=0 Win=28800 Len=0 MSS=1440 SACK_PERM=1 TSval=386369698 TSecr=0 WS=128"
"239","6.673577009","fe80::1a0f:76ff:fe8d:1fb6","fe80::c662:d135:7792:5180","ICMPv6","144","Time Exceeded (hop limit exceeded in transit)"
"240","6.790881364","fe80::1a0f:76ff:fe8d:1fb6","fe80::c662:d135:7792:5180","ICMPv6","144","Time Exceeded (hop limit exceeded in transit)"
"241","6.802946506","52.35.55.244","10.10.10.140","TLSv1.2","99","Application Data"
"242","6.803220872","10.10.10.140","52.35.55.244","TLSv1.2","103","Application Data"
"243","6.857688015","10.10.15.16","10.10.15.255","NBNS","112","Registration NB ADMINRG-SL7NR70<00>"
"244","6.859703032","10.10.15.16","10.10.15.255","NBNS","112","Registration NB WORKGROUP<00>"
"245","6.868549237","fe80::1a0f:76ff:fe8d:1fb6","fe80::c662:d135:7792:5180","ICMPv6","144","Time Exceeded (hop limit exceeded in transit)"
"246","6.962158171","fe80::dd1c:3f53:bec2:93b2","ff02::1:3","ICMPv6","88","Multicast Listener Report"
"247","7.062711649","fe80::b668:9830:806e:671f","ff02::fb","ICMPv6","88","Multicast Listener Report"
"248","7.064638886","10.10.13.60","10.10.15.255","NBNS","94","Name query NB WPAD<00>"
"249","7.068645167","fe80::e5eb:474d:a7f9:12e3","ff02::1:3","ICMPv6","88","Multicast Listener Report"
"250","7.069666759","fe80::726d:ecff:fe02:212","ff02::2","ICMPv6","88","Multicast Listener Report"
"251","7.072666330","fe80::e2e0:e56d:4395:d5fc","ff02::fb","ICMPv6","88","Multicast Listener Report"
"252","7.074008436","fe80::13e:4d12:f476:a733","ff02::1:3","ICMPv6","88","Multicast Listener Report"
"253","7.075149746","fe80::c6b9:cdff:fe31:9e11","ff02::1:ff31:9e11","ICMPv6","88","Multicast Listener Report"
"254","7.076251344","fe80::8d51:9117:c47:c603","ff02::1:3","ICMPv6","88","Multicast Listener Report"
"255","7.078374543","fe80::726d:ecff:fe02:1d5","ff02::2","ICMPv6","88","Multicast Listener Report"
"256","7.079512658","fe80::22f4:78ff:feb5:38ce","ff02::1:ffb5:38ce","ICMPv6","88","Multicast Listener Report"
"257","7.081228113","fe80::9c25:e050:14f:ff3","ff02::1:3","ICMPv6","88","Multicast Listener Report"
"258","7.082340612","fe80::495:c8a6:41fd:97b1","ff02::1:fffd:97b1","ICMPv6","88","Multicast Listener Report"
