"No.","Time","Source","Destination","Protocol","Length","Info"
"671","605.701874442","Tp-LinkT_f5:de:8c","","ARP","62","192.168.0.1 is at 18:a6:f7:f5:de:8c"
"672","620.356698803","192.168.0.101","192.168.0.101","UDP","53","59400  >  6000 Len=9"
"673","620.356885547","192.168.0.101","192.168.0.102","UDP","53","6000  >  52058 Len=9"
"674","624.994676510","192.168.0.1","224.0.0.1","IGMPv2","62","Membership Query, general"
"675","625.412028466","Vmware_d4:ba:56","","ARP","44","Who has 192.168.0.102? Tell 192.168.0.101"
"676","625.412481067","Vmware_2f:6c:96","","ARP","62","192.168.0.102 is at 00:0c:29:2f:6c:96"
"677","626.323138592","192.168.0.102","224.0.0.251","IGMPv2","62","Membership Report group 224.0.0.251"
"678","632.046008815","192.168.0.100","224.0.0.251","IGMPv2","62","Membership Report group 224.0.0.251"
"679","632.790751541","192.168.0.101","91.189.89.199","NTP","92","NTP Version 4, client"
"680","632.917683411","91.189.89.199","192.168.0.101","NTP","92","NTP Version 4, server"
"681","638.421033725","Vmware_d4:ba:56","","ARP","44","Who has 192.168.0.1? Tell 192.168.0.101"
"682","638.434746376","Tp-LinkT_f5:de:8c","","ARP","62","192.168.0.1 is at 18:a6:f7:f5:de:8c"
"683","665.505247640","192.168.0.101","91.189.89.199","NTP","92","NTP Version 4, client"
"684","665.637800775","91.189.89.199","192.168.0.101","NTP","92","NTP Version 4, server"
"685","671.154693984","Vmware_d4:ba:56","","ARP","44","Who has 192.168.0.1? Tell 192.168.0.101"
"686","671.157019798","Tp-LinkT_f5:de:8c","","ARP","62","192.168.0.1 is at 18:a6:f7:f5:de:8c"
